Altium Designer Pick and Place Locations
E:\05.Projects\025.即插即用语音交互插件【VoiceGadget】\01.Hardware\Project Outputs for ASR_USB\Pick Place for ASR_USB.csv

========================================================================================================================
File Design Information:

Date:       26/12/22
Time:       10:11
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"TW-ASR1","TW-ASR","TopLayer","QFN48_7X7_L","1747.205","1330.000","180",""
"T5","LinkPoint","TopLayer","TEST_PT_Point","1105.000","1240.008","0",""
"T4","LinkPoint","TopLayer","TEST_PT_Point","1105.000","1310.008","0",""
"X1","12.288M/15pF","TopLayer","OSC_3225-4P","1660.000","1080.000","0","4脚无源晶振"
"USB1","USB","BottomLayer","USB-plug1","1141.500","1271.500","0",""
"U6","RGB5050","BottomLayer","RGB5050","2110.000","1270.000","0",""
"U5","RY3408","BottomLayer","SOT23-5","1400.000","1427.945","90",""
"U4","SPK_Header","TopLayer","SPK_Header","2170.000","1090.000","0",""
"U3","LN1134A332MR","TopLayer","SOT23-5","1410.000","1442.945","90",""
"U2","CP2102","TopLayer","QFN-28","1400.000","1130.000","0","USB转TTL"
"U1","BL6281MM","TopLayer","MSOP8_M","2095.000","1455.000","270",""
"T3","测试点","TopLayer","TEST_PT","1524.992","1480.000","90",""
"T2","测试点","TopLayer","TEST_PT","1524.992","1520.000","90",""
"T1","测试点","TopLayer","TEST_PT","1524.992","1435.000","90",""
"SPK1","SPK","BottomLayer","SPK","1570.000","1195.000","180",""
"R21","5K","TopLayer","RES_0402","1175.000","1515.000","0","Resistor"
"R20","22K","BottomLayer","RES_0402","1550.000","1470.000","90","Resistor"
"R19","2K","BottomLayer","RES_0402","1940.000","1310.000","180","Resistor"
"R18","2K","BottomLayer","RES_0402","1940.000","1270.000","180","Resistor"
"R17","2K","BottomLayer","RES_0402","1940.000","1230.000","180","Resistor"
"R16","2K","TopLayer","RES_0402","1175.000","1030.000","0","Resistor"
"R15","22K","BottomLayer","RES_0402","1505.000","1470.000","270","Resistor"
"R14","200R","TopLayer","RES_0402","1275.000","1260.000","90","Resistor"
"R13","10K","TopLayer","RES_0402","1255.000","1030.000","180","Resistor"
"R12","4.7K","TopLayer","RES_0402","2185.000","1245.000","0","Resistor"
"R11","4.7K","TopLayer","RES_0402","2185.000","1285.000","0","Resistor"
"R10","10K","TopLayer","RES_0402","1935.000","1505.000","90","Resistor"
"R9","470R","TopLayer","RES_0402","1555.000","1120.000","270","Resistor"
"R8","330R","TopLayer","RES_0402","1530.000","1250.000","0","Resistor"
"R7","330R","TopLayer","RES_0402","1530.000","1285.000","0","Resistor"
"R6","0R","BottomLayer","RES_0402","1940.000","1345.000","180","Resistor"
"R5","2.2K","BottomLayer","RES_0402","1705.000","1360.000","0","Resistor"
"R4","470R","TopLayer","RES_0402","2055.000","1040.000","90","Resistor"
"R3","10K","BottomLayer","RES_0402","1705.000","1420.000","180","Resistor"
"R2","2.2K","TopLayer","RES_0402","1955.000","1210.000","90","Resistor"
"R1","2.2K","BottomLayer","RES_0402","1705.000","1485.000","180","Resistor"
"MIC1","MIC","BottomLayer","MIC-SMT","1830.000","1425.000","180",""
"L1","2.2uH","BottomLayer","2520-L","1550.000","1375.000","0","磁珠"
"K1","TACT 4P","TopLayer","ButtonTACT_3.5*3.55_90","1910.000","1080.000","180","Button"
"D3","color?","TopLayer","LED_0402_RED","1095.000","1515.000","180","LED"
"D2","color?","TopLayer","LED_0402_RED","1095.000","1030.000","180","LED"
"D1","二极管-5819W","BottomLayer","SOD-323","1285.000","1430.000","90","40V"
"C25","4.7uF","BottomLayer","CAP_0402","1595.000","1470.000","90","Capacitor"
"C24","4.7uF","TopLayer","CAP_0402","1275.000","1405.000","90","Capacitor"
"C23","4.7uF","TopLayer","CAP_0402","1315.000","1405.000","270","Capacitor"
"C22","10uF","TopLayer","CAP_0402","1275.000","1480.000","270","Capacitor"
"C21","100nF","TopLayer","CAP_0402","1315.000","1480.000","270","Capacitor"
"C20","100nF","TopLayer","CAP_0402","2185.000","1205.000","0","Capacitor"
"C19","10uF","TopLayer","CAP_0402","2165.000","1345.000","90","Capacitor"
"C18","100nF","TopLayer","CAP_0402","2205.000","1345.000","90","Capacitor"
"C17","1uF","TopLayer","CAP_0402","1935.000","1430.000","270","Capacitor"
"C16","4.7uF","TopLayer","CAP_0402","2060.000","1375.000","180","Capacitor"
"C15","100nF","TopLayer","CAP_0402","2060.000","1340.000","180","Capacitor"
"C14","4.7uF","TopLayer","CAP_0402","2060.000","1305.000","180","Capacitor"
"C13","100nF","TopLayer","CAP_0402","1980.000","1340.000","0","Capacitor"
"C12","4.7uF","TopLayer","CAP_0402","2060.000","1265.000","180","Capacitor"
"C11","100nF","TopLayer","CAP_0402","2035.000","1210.000","90","Capacitor"
"C10","100nF","TopLayer","CAP_0402","2075.000","1210.000","90","Capacitor"
"C9","100nF","TopLayer","CAP_0402","1980.000","1305.000","0","Capacitor"
"C8","100nF","BottomLayer","CAP_0402","1640.000","1370.000","270","Capacitor"
"C7","10uF","TopLayer","CAP_0402","2055.000","1120.000","270","Capacitor"
"C6","100nF","TopLayer","CAP_0402","1980.000","1375.000","180","Capacitor"
"C5","100nF","TopLayer","CAP_0402","1605.000","1525.000","0","Capacitor"
"C4","100nF","BottomLayer","CAP_0402","1640.000","1470.000","90","Capacitor"
"C3","100nF","TopLayer","CAP_0402","1995.000","1210.000","270","Capacitor"
"C2","22pF","TopLayer","CAP_0402","1760.000","1045.000","90","Capacitor"
"C1","22pF","TopLayer","CAP_0402","1555.000","1045.000","270","Capacitor"
